checkpoint,checkpoint_sha256,code_revision,oracle_gate_relative_guidance,sampling_protocol,profile,seed,episode,completed,first_lap_completed,lap_time_s,failure_gate,gates_passed,collision,flyaway,return,duration_s,position_rmse_m,attitude_rmse_rad,velocity_rmse_mps
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,67,True,True,5.08,,7,False,False,39.08671951293945,5.08,0.13569258153438568,0.038204628974199295,0.33511438965797424
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,68,True,True,5.15,,7,False,False,39.04786682128906,5.15,0.13140451908111572,0.04057459905743599,0.3247482180595398
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,69,False,False,,4,2,True,False,5.464043140411377,3.13,0.1430746167898178,0.07493604719638824,0.39545559883117676
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,70,True,True,5.9,,7,False,False,39.65182113647461,5.9,0.1301475167274475,0.04142359271645546,0.3352961242198944
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,71,True,True,6.0200000000000005,,7,False,False,39.7216682434082,6.0200000000000005,0.12051772326231003,0.03951071947813034,0.31008192896842957
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,72,True,True,5.89,,7,False,False,39.52687454223633,5.89,0.12999702990055084,0.03934193775057793,0.3176390826702118
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,73,True,True,5.96,,7,False,False,39.45381546020508,5.96,0.13372911512851715,0.03991878405213356,0.3298951983451843
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,74,True,True,5.96,,7,False,False,39.34503936767578,5.96,0.1326165646314621,0.038015998899936676,0.3237304985523224
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,75,True,True,5.88,,7,False,False,39.635101318359375,5.88,0.1303505152463913,0.038281556218862534,0.33027732372283936
/home/donglei/isaac_projects/isaac_drone_racer/.worktrees/stage1-fake-vio/logs/skrl/stage1_recovery_20260905/2026-09-05_11-37-52/2026-09-05_11-37-57_ppo_torch_stage1_mixed/checkpoints/agent_50400.pt,8358d49b14eff681c47b70db964f4007dbfd07e9212768e13dbf0c17f0afc8d8,150d107225160ac498040fa20d4ccf9e26ec2703,True,fixed_per_environment_quotas_v2,mild,47,76,True,True,6.08,,7,False,False,39.94060134887695,6.08,0.12415255606174469,0.04109876602888107,0.30910083651542664
